(001) Приемы;B01.001.001;Прием (осмотр, консультация) врача-акушера-гинеколога первичный;0;6100
(001) Приемы;B01.001.001.002;Прием (осмотр, консультация) врача-акушера-гинеколога первичный на дому;0;12500
(001) Приемы;B01.001.002;Прием (осмотр, консультация) врача-акушера-гинеколога повторный;0;5800
(001) Приемы;B01.001.002.002;Прием (осмотр, консультация) врача-акушера-гинеколога повторный на дому;0;12500
(001) Приемы;B01.001.003.001;Прием (осмотр, консультация) врача-акушера-гинеколога с ультразвуковым исследованием первичный;0;11000
(001) Приемы;B01.001.003.002;Прием (осмотр, консультация) врача-акушера-гинеколога с ультразвуковым исследованием повторный;0;10300
(001) Приемы;B01.001.004;Прием (осмотр, консультация) врача-акушера-гинеколога беременной первичный;0;6600
(001) Приемы;B01.001.005;Прием (осмотр, консультация) врача-акушера-гинеколога беременной повторный;0;6200
(001) Приемы;B01.002.001;Прием (осмотр, консультация) врача-аллерголога-иммунолога первичный;0;6100
(001) Приемы;B01.002.002;Прием (осмотр, консультация) врача-аллерголога-иммунолога повторный;0;5800
(001) Приемы;B01.003.001.001;Прием врача оксигенобаротерапии леч,перв,амб;0;5100
(001) Приемы;B01.003.002;Осмотр (консультация) врачом-анестезиологом-реаниматологом повторный;0;4800
(001) Приемы;B01.004.001;Прием (осмотр, консультация) врача-гастроэнтеролога первичный;0;5200
(001) Приемы;B01.004.001.002;Прием (осмотр, консультация) врача-гастроэнтеролога первичный на дому;0;12500
(001) Приемы;B01.004.002;Прием (осмотр, консультация) врача-гастроэнтеролога повторный;0;4900
(001) Приемы;B01.008.001;Прием (осмотр, консультация) врача-дерматовенеролога первичный;0;6100
(001) Приемы;B01.008.001.001;Прием (осмотр, консультация) врача-дерматовенеролога на дому;0;12500
(001) Приемы;B01.008.002;Прием (осмотр, консультация) врача-дерматовенеролога повторный;0;5800
(001) Приемы;B01.008.002.001;Прием (осмотр, консультация) врача-дерматовенеролога (трихолога) повторный;0;4800
(001) Приемы;B01.008.007.001;Прием (осмотр, консультация) врача-дерматовенеролога (трихолога) первичный;0;5800
(001) Приемы;B01.013.001;Прием (осмотр, консультация) врача-диетолога первичный;0;5900
(001) Приемы;B01.013.002;Прием (осмотр, консультация) врача-диетолога повторный;0;5000
(001) Приемы;B01.014.001;Прием (осмотр, консультация) врача-инфекциониста первичный;0;5200
(001) Приемы;B01.014.001.002;Прием (осмотр, консультация) врача-инфекциониста на дому;0;12500
(001) Приемы;B01.014.002;Прием (осмотр, консультация) врача-инфекциониста повторный;0;4900
(001) Приемы;B01.015.001;Прием (осмотр, консультация) врача-кардиолога первичный;0;5200
(001) Приемы;B01.015.001.001;Прием (осмотр, консультация) врача-кардиолога первичный на дому;0;12500
(001) Приемы;B01.015.002;Прием (осмотр, консультация) врача-кардиолога повторный;0;4900
(001) Приемы;B01.015.002.001;Прием (осмотр, консультация) врача-кардиолога повторный на дому;0;11600
(001) Приемы;B01.018.001;Прием (осмотр, консультация) врача-колопроктолога первичный;0;6100
(001) Приемы;B01.018.002;Прием (осмотр, консультация) врача-колопроктолога повторный;0;5800
(001) Приемы;B01.020.001;Прием (осмотр, консультация) врача по лечебной физкультуре;0;5200
(001) Приемы;B01.020.001.001;Прием (осмотр, консультация) врача по лечебной физкультуре;0;5000
